"location","count","latitude","longitude"
5259292,2,39.25505,-90.06316
5499811,1,23.80326,-99.17025
5261867,3,18.56611,-95.50222
5278199,1,40.26617,-83.21269
5233897,1,57.06676,30.09032
5248499,1,43.83667,5.03722
5199738,10,27.59964,-108.28604
5243044,1,40.82747,-7.79816
5226213,7,31.31716,-113.53799
5558798,1,42.99333,-97.86285
5263250,5,40.40089,-82.81073
5279121,1,-34.52336,138.95982
5222087,4,38.22147,-82.44237
5204172,99,40.71427,-74.00597
5299855,3,43.49729,-74.36181
5239953,7,58.81762,16.89945
5191506,5,41.1445,-81.43983
5245307,3,33.89566,-94.82633
5229030,7,49.25401,9.85673
5235657,6,34.86526,-120.436
5255511,4,38.92219,-111.93409
5209887,2,33.03951,-115.36532
5193804,2,44.12055,-88.09927
5254191,1,39.14927,-76.77525
5209863,1,35.9273,-89.91898
5284643,1,41.43834,-92.16907
5188664,1,34.0584,-106.89142
5247696,10,25.90232,-80.25033
5258911,2,35.82698,-101.44294
5239444,1,50.68409,-4.69301
5209900,1,51.50417,3.88889
5213906,6,27.99419,-82.21953
5244236,1,57.95427,13.82241
5249449,4,37.81007,-85.98135
5224953,1,49.7853,9.44417
5211099,1,33.13734,-95.83941
5272142,1,50.4522,2.5379
5276884,10,40.81204,-74.12431
5277006,1,54.993,57.6982
5246590,10,39.12004,-88.54338
5238960,1,31.8,35.3
5224879,2,35.74173,-86.64972
5279633,6,41.01139,-95.88223
5244150,4,58.80568,15.78783
5211354,6,50.8,-1.06667
5291885,3,53.06667,-0.81667
5401779,5,32.84923,-109.75925
5224368,1,38.71834,-95.08164
5375438,1,26.92978,-82.04537
5216749,4,48.20849,16.37208
5238237,1,54.5,35.5
5282269,1,34.17345,-90.13759
5227719,1,53.56139,8.57806
5259330,1,51.93,6.07083
5249110,1,45.8862,11.53679
5296361,3,28.85165,-82.4876
5533562,2,43.08189,-93.73427
5261219,6,40.08122,-75.18934
5208657,6,43.01418,-88.4726
5266240,12,34.74648,-92.28959
5215553,2,49.25294,6.04467
5290362,1,34.99942,-117.64978
5239847,1,48.8465,-122.59101
5230305,1,-34.52353,-58.47439
6103778,1,33.19587,-117.37948
5204607,3,40.00982,-76.12857
5241729,5,18.50078,-67.02435
5200975,11,42.94057,-87.99592
5248701,1,43.31972,0.21417
5234717,4,39.44894,-91.05153
5389300,1,10.66663,-71.61245
5296786,2,31.82788,-101.05001
5297372,5,48.58392,7.74553
5259059,3,35.47144,-98.35562
5211106,2,41.83281,-87.92895
5605316,2,35.50064,-94.05159
5208875,13,40.45927,-74.36098
5373283,1,33.99084,-118.46008
5225182,1,38.31187,-3.04219
6102958,3,40.78343,-73.96625
5296737,2,41.77948,-87.59949
5235171,1,41.04777,-100.74523
5238691,1,7.113,171.236
5298380,1,44.19196,-83.93082
5249276,1,30.24706,115.04814
5190245,3,41.68375,-94.50105
5231347,4,45.04818,-122.95843
5227635,4,45.6741,6.3377
5272290,1,55.97313,10.153
5292477,1,35.48341,-86.46027
5371363,2,46.33933,-117.04821
5243115,1,46.22603,11.98967
5230988,2,-30.5,-68.5
5219568,4,-17.3895,-66.1568
5237712,1,53.83333,-2.91667
5221521,2,37.08333,9.58333
5382074,7,33.40433,-79.92174
5262514,2,34.53815,-96.21861
5261698,1,29.95215,-90.29647
5226435,1,46.63845,6.63525
5226440,1,9.97489,-84.37886
5202077,3,52.76667,-1.2
