"location","count","latitude","longitude"
5235602,2,34.99203,-86.84667
5232681,1,39.41955,-76.78025
5282720,4,40.29656,-120.52411
5211081,1,-6,147
6103147,1,41.13998,-104.82025
5260585,1,37.95,58.38333
5193715,1,41.80065,-73.12122
5216887,9,40.47788,-74.2907
5229585,1,41.50642,-87.59171
5258876,6,39.94429,-74.07291
5199299,2,-3.60095,-43.85169
5191665,17,38.71345,-77.79527
5202937,11,36.6844,-121.80217
5255061,1,31.961,-93.89797
5213575,12,39.59941,-110.81071
5236919,1,34.37649,-88.05865
5202271,1,32.07792,-87.28138
5188324,4,43.77925,11.24626
5520490,1,37.33803,-113.69302
5219720,6,44.66215,-111.10411
5494510,1,34.16504,77.58402
5190289,2,39.23418,-93.9355
5232756,1,47.25,28.58333
5394191,1,-36.5318,148.9679
5216026,21,44.54341,-68.41946
5415408,3,41.81288,-72.9201
5211573,48,52.76667,1.28333
5208114,5,1.36667,103.8
5230583,12,40.69161,-112.00105
5242084,29,24.71375,-81.09035
5230260,1,-23.21003,-64.09965
6103327,2,25.79065,-80.13005
5263182,6,38.425,-105.02276
5422966,4,39.56242,-75.94811
5300386,17,43.14675,-71.45757
5293301,8,26.10369,-97.16469
5420862,6,42.43179,-123.0506
5393015,1,37.29111,127.00889
5238894,1,52.31478,0.78398
5208258,1,21.54585,-77.26504
5226586,3,40.33396,-79.67004
5278432,6,39.0075,-78.85792
5218415,2,43.33702,-71.56535
5205836,2,34.02112,-118.39647
5256433,8,46.55374,-120.38312
5513809,2,33.60822,-80.3512
5487271,2,41.63783,-85.92166
5517514,1,29.17524,-100.41369
5229563,22,45.50032,-69.24977
5281207,14,43.59781,-84.76751
5253197,1,-23.64889,-46.85222
5190753,3,-29.41105,-66.85067
5302211,3,49.86397,0.88731
5213939,3,42.54318,-122.56559
5215141,1,54.48774,-0.61498
5191194,1,52.78574,-1.12988
5558712,1,34.83287,-89.1759
5221346,1,37.31533,-93.5852
5204145,1,44.55745,135.6209
6103446,3,33.744,-90.72482
5514670,1,22.95998,88.42849
5239919,1,59.36109,17.08804
5445685,1,-34.10711,145.84629
5295649,2,35.09315,-93.44852
5199579,2,43.83806,5.98389
5537642,1,-36.8,174.75
5531870,1,35.05398,-93.39352
5234806,1,-33.5,-60.33333
5229353,1,34.17917,-118.76287
5263776,6,36.28092,-83.5149
5513738,1,19.46278,-89.99556
5248221,9,41.52003,-88.20173
5405930,1,53.78893,9.42576
5507106,1,41.12805,-101.71962
5213935,17,45.51984,-123.11066
5379741,1,21.42664,39.82563
5217318,3,21,-101
5302104,3,35.54041,-79.77309
5489222,3,31.39046,-92.66931
5188724,61,36.72806,-108.21869
5582327,1,41.39782,-82.22238
5218552,9,34.49901,-82.01426
5192197,3,37.62644,-89.49787
5206153,1,51.35908,1.43938
5220996,8,33.8464,-118.04673
5386018,3,35.28314,-86.37416
5197705,45,48.0151,-122.06374
5599800,1,40.50829,-7.5905
5394411,2,38.7695,-90.72902
5219559,2,43.08864,-84.38693
5240135,2,23.80474,-103.07648
6102719,7,26.49535,-97.78666
5484835,2,31.95835,77.10823
5205461,1,47.65966,-117.42908
5236491,1,41.85003,-87.65005
5385877,3,41.22838,-85.17247
6103523,7,35.08449,-106.65114
5501551,2,51.33962,12.37129
5209815,1,46.64441,5.18465
5585513,1,43.15638,-98.54147
5224327,1,30.84853,-93.7574
5193622,1,49,32
5383698,1,16.88028,-96.7825
5439847,1,39.7,-0.53333
5398058,4,40.34893,-85.14997
5477111,3,14.64072,-90.51327
5511076,1,48.90527,-95.3144
5199197,21,34.75752,-112.45378
5475493,2,37.03339,-88.35004
5199648,2,16.07472,-93.50472
5224497,2,24.29667,-107.47833
5214288,10,41.67705,-71.26616
5228945,1,25.41561,-100.42724
5261404,1,46.70649,-123.98183
5300416,4,30.71769,-97.44278
5217563,7,45.13339,-71.79907
5241660,4,30.41159,-88.53446
5509444,1,12.57065,99.95876
5211171,9,43.21555,-88.03001
6103463,1,36.70391,-105.59501
5222553,5,41.58866,-83.89105
5290290,7,45.03802,-93.38662
5600012,1,-38.71959,-62.27243
5204755,1,33.61891,-117.92895
5208487,16,36.05443,-112.13934
6278634,1,39.01256,-84.60467
5290644,2,52.16235,-7.15244
5199900,1,43.66294,-116.68736
